effect_class	term	gene
Tm	hemoglobin	ENSMUSG00000052305
Tm	hemoglobin	ENSMUSG00000069917
Tm	hemoglobin	ENSMUSG00000069919
Tm	hemoglobin	ENSMUSG00000073940
Tm	hemoglobin	ENSMUSG00000001403
Tm	hemoglobin	ENSMUSG00000016559
Tm	hemoglobin	ENSMUSG00000026043
Tm	hemoglobin	ENSMUSG00000028832
Tm	hemoglobin	ENSMUSG00000029177
Tm	hemoglobin	ENSMUSG00000036181
Tm	hemoglobin	ENSMUSG00000049775
Tm	hemoglobin	ENSMUSG00000054717
Tm	hemoglobin	ENSMUSG00000056071
Tm	ER_ribosome	ENSMUSG00000000740
Tm	ER_ribosome	ENSMUSG00000003429
Tm	ER_ribosome	ENSMUSG00000003970
Tm	ER_ribosome	ENSMUSG00000006333
Tm	ER_ribosome	ENSMUSG00000007892
Tm	ER_ribosome	ENSMUSG00000008668
Tm	ER_ribosome	ENSMUSG00000008682
Tm	ER_ribosome	ENSMUSG00000008683
Tm	ER_ribosome	ENSMUSG00000009927
Tm	ER_ribosome	ENSMUSG00000012405
Tm	ER_ribosome	ENSMUSG00000012848
Tm	ER_ribosome	ENSMUSG00000017404
Tm	ER_ribosome	ENSMUSG00000020372
Tm	ER_ribosome	ENSMUSG00000020460
Tm	ER_ribosome	ENSMUSG00000021660
Tm	ER_ribosome	ENSMUSG00000021807
Tm	ER_ribosome	ENSMUSG00000022312
Tm	ER_ribosome	ENSMUSG00000024608
Tm	ER_ribosome	ENSMUSG00000025290
Tm	ER_ribosome	ENSMUSG00000025362
Tm	ER_ribosome	ENSMUSG00000025508
Tm	ER_ribosome	ENSMUSG00000025794
Tm	ER_ribosome	ENSMUSG00000025967
Tm	ER_ribosome	ENSMUSG00000026511
Tm	ER_ribosome	ENSMUSG00000028081
Tm	ER_ribosome	ENSMUSG00000028234
Tm	ER_ribosome	ENSMUSG00000028495
Tm	ER_ribosome	ENSMUSG00000028798
Tm	ER_ribosome	ENSMUSG00000028936
Tm	ER_ribosome	ENSMUSG00000029614
Tm	ER_ribosome	ENSMUSG00000030432
Tm	ER_ribosome	ENSMUSG00000030744
Tm	ER_ribosome	ENSMUSG00000030879
Tm	ER_ribosome	ENSMUSG00000031029
Tm	ER_ribosome	ENSMUSG00000031320
Tm	ER_ribosome	ENSMUSG00000032399
Tm	ER_ribosome	ENSMUSG00000032518
Tm	ER_ribosome	ENSMUSG00000033307
Tm	ER_ribosome	ENSMUSG00000034892
Tm	ER_ribosome	ENSMUSG00000034994
Tm	ER_ribosome	ENSMUSG00000035530
Tm	ER_ribosome	ENSMUSG00000037563
Tm	ER_ribosome	ENSMUSG00000037805
Tm	ER_ribosome	ENSMUSG00000038900
Tm	ER_ribosome	ENSMUSG00000039001
Tm	ER_ribosome	ENSMUSG00000039221
Tm	ER_ribosome	ENSMUSG00000040952
Tm	ER_ribosome	ENSMUSG00000041453
Tm	ER_ribosome	ENSMUSG00000041841
Tm	ER_ribosome	ENSMUSG00000043716
Tm	ER_ribosome	ENSMUSG00000044533
Tm	ER_ribosome	ENSMUSG00000045128
Tm	ER_ribosome	ENSMUSG00000046330
Tm	ER_ribosome	ENSMUSG00000046364
Tm	ER_ribosome	ENSMUSG00000047215
Tm	ER_ribosome	ENSMUSG00000047675
Tm	ER_ribosome	ENSMUSG00000048758
Tm	ER_ribosome	ENSMUSG00000049517
Tm	ER_ribosome	ENSMUSG00000050621
Tm	ER_ribosome	ENSMUSG00000052146
Tm	ER_ribosome	ENSMUSG00000053317
Tm	ER_ribosome	ENSMUSG00000057322
Tm	ER_ribosome	ENSMUSG00000057841
Tm	ER_ribosome	ENSMUSG00000057863
Tm	ER_ribosome	ENSMUSG00000058546
Tm	ER_ribosome	ENSMUSG00000058558
Tm	ER_ribosome	ENSMUSG00000058600
Tm	ER_ribosome	ENSMUSG00000059070
Tm	ER_ribosome	ENSMUSG00000059291
Tm	ER_ribosome	ENSMUSG00000060036
Tm	ER_ribosome	ENSMUSG00000060126
Tm	ER_ribosome	ENSMUSG00000060636
Tm	ER_ribosome	ENSMUSG00000060938
Tm	ER_ribosome	ENSMUSG00000061315
Tm	ER_ribosome	ENSMUSG00000061477
Tm	ER_ribosome	ENSMUSG00000061787
Tm	ER_ribosome	ENSMUSG00000061983
Tm	ER_ribosome	ENSMUSG00000062006
Tm	ER_ribosome	ENSMUSG00000062328
Tm	ER_ribosome	ENSMUSG00000062647
Tm	ER_ribosome	ENSMUSG00000063316
Tm	ER_ribosome	ENSMUSG00000063457
Tm	ER_ribosome	ENSMUSG00000063480
Tm	ER_ribosome	ENSMUSG00000067274
Tm	ER_ribosome	ENSMUSG00000067288
Tm	ER_ribosome	ENSMUSG00000068240
Tm	ER_ribosome	ENSMUSG00000071415
Tm	ER_ribosome	ENSMUSG00000071644
Tm	ER_ribosome	ENSMUSG00000073702
Tm	ER_ribosome	ENSMUSG00000078812
Tm	ER_ribosome	ENSMUSG00000078974
Tm	ER_ribosome	ENSMUSG00000079435
Tm	ER_ribosome	ENSMUSG00000079641
Tm	ER_ribosome	ENSMUSG00000090733
Tm	ER_ribosome	ENSMUSG00000090862
Tm	ER_ribosome	ENSMUSG00000093674
Tm	mitochondria	ENSMUSG00000000563
Tm	mitochondria	ENSMUSG00000003072
Tm	mitochondria	ENSMUSG00000006057
Tm	mitochondria	ENSMUSG00000011752
Tm	mitochondria	ENSMUSG00000014313
Tm	mitochondria	ENSMUSG00000014606
Tm	mitochondria	ENSMUSG00000016319
Tm	mitochondria	ENSMUSG00000018770
Tm	mitochondria	ENSMUSG00000019179
Tm	mitochondria	ENSMUSG00000020267
Tm	mitochondria	ENSMUSG00000020321
Tm	mitochondria	ENSMUSG00000021771
Tm	mitochondria	ENSMUSG00000022354
Tm	mitochondria	ENSMUSG00000022452
Tm	mitochondria	ENSMUSG00000022551
Tm	mitochondria	ENSMUSG00000022890
Tm	mitochondria	ENSMUSG00000022956
Tm	mitochondria	ENSMUSG00000024661
Tm	mitochondria	ENSMUSG00000025428
Tm	mitochondria	ENSMUSG00000025651
Tm	mitochondria	ENSMUSG00000025781
Tm	mitochondria	ENSMUSG00000026032
Tm	mitochondria	ENSMUSG00000026385
Tm	mitochondria	ENSMUSG00000027673
Tm	mitochondria	ENSMUSG00000028648
Tm	mitochondria	ENSMUSG00000029632
Tm	mitochondria	ENSMUSG00000030246
Tm	mitochondria	ENSMUSG00000030869
Tm	mitochondria	ENSMUSG00000030884
Tm	mitochondria	ENSMUSG00000031231
Tm	mitochondria	ENSMUSG00000031633
Tm	mitochondria	ENSMUSG00000031818
Tm	mitochondria	ENSMUSG00000032330
Tm	mitochondria	ENSMUSG00000034566
Tm	mitochondria	ENSMUSG00000035885
Tm	mitochondria	ENSMUSG00000036199
Tm	mitochondria	ENSMUSG00000036751
Tm	mitochondria	ENSMUSG00000038462
Tm	mitochondria	ENSMUSG00000038690
Tm	mitochondria	ENSMUSG00000038717
Tm	mitochondria	ENSMUSG00000040048
Tm	mitochondria	ENSMUSG00000041697
Tm	mitochondria	ENSMUSG00000054428
Tm	mitochondria	ENSMUSG00000061518
Tm	mitochondria	ENSMUSG00000061904
Tm	mitochondria	ENSMUSG00000064341
Tm	mitochondria	ENSMUSG00000064345
Tm	mitochondria	ENSMUSG00000064351
Tm	mitochondria	ENSMUSG00000064354
Tm	mitochondria	ENSMUSG00000064357
Tm	mitochondria	ENSMUSG00000064358
Tm	mitochondria	ENSMUSG00000064360
Tm	mitochondria	ENSMUSG00000064363
Tm	mitochondria	ENSMUSG00000064367
Tm	mitochondria	ENSMUSG00000064370
Tm	mitochondria	ENSMUSG00000065947
Tm	mitochondria	ENSMUSG00000065990
Tm	mitochondria	ENSMUSG00000005161
Tm	mitochondria	ENSMUSG00000006818
Tm	mitochondria	ENSMUSG00000027566
Tm	mitochondria	ENSMUSG00000028691
Tm	mitochondria	ENSMUSG00000032959
Tm	mitochondria	ENSMUSG00000062070
Tm	mitochondria	ENSMUSG00000093904
Tm	mitochondria	ENSMUSG00000005779
Tm	mitochondria	ENSMUSG00000019804
Tm	mitochondria	ENSMUSG00000024646
Tm	mitochondria	ENSMUSG00000024758
Tm	mitochondria	ENSMUSG00000069744
Tm	mRNA_processing	ENSMUSG00000004980
Tm	mRNA_processing	ENSMUSG00000007836
Tm	mRNA_processing	ENSMUSG00000016921
Tm	mRNA_processing	ENSMUSG00000020358
Tm	mRNA_processing	ENSMUSG00000021134
Tm	mRNA_processing	ENSMUSG00000028609
Tm	mRNA_processing	ENSMUSG00000028639
Tm	mRNA_processing	ENSMUSG00000030057
Tm	mRNA_processing	ENSMUSG00000031167
Tm	mRNA_processing	ENSMUSG00000040824
Tm	mRNA_processing	ENSMUSG00000042079
Tm	mRNA_processing	ENSMUSG00000046434
Tm	mRNA_processing	ENSMUSG00000056851
Tm	mRNA_processing	ENSMUSG00000057113
Tm	mRNA_processing	ENSMUSG00000059796
Tm	mRNA_processing	ENSMUSG00000061360
Tm	mRNA_processing	ENSMUSG00000032294
Tm	mRNA_processing	ENSMUSG00000002477
Tm	mRNA_processing	ENSMUSG00000015804
Tm	mRNA_processing	ENSMUSG00000018446
Tm	mRNA_processing	ENSMUSG00000021546
Tm	mRNA_processing	ENSMUSG00000022283
Tm	mRNA_processing	ENSMUSG00000022858
Tm	mRNA_processing	ENSMUSG00000022961
Tm	mRNA_processing	ENSMUSG00000028820
Tm	mRNA_processing	ENSMUSG00000034192
Tm	mRNA_processing	ENSMUSG00000038489
Tm	mRNA_processing	ENSMUSG00000047888
Tm	mRNA_processing	ENSMUSG00000071172
Tm	mRNA_processing	ENSMUSG00000090553
Tm	nucleosome	ENSMUSG00000040681
Tm	nucleosome	ENSMUSG00000050708
Tm	nucleosome	ENSMUSG00000026238
Tm	nucleosome	ENSMUSG00000032383
Tm	nucleosome	ENSMUSG00000037742
Tm	nucleosome	ENSMUSG00000038274
Tm	nucleosome	ENSMUSG00000071866
