effect_class	term	gene
Tm	nucleosome	ENSMUSG00000000088
Tm	nucleosome	ENSMUSG00000024248
Tm	nucleosome	ENSMUSG00000025393
Tm	nucleosome	ENSMUSG00000030541
Tm	nucleosome	ENSMUSG00000035242
Tm	nucleosome	ENSMUSG00000063229
Tm	nucleosome	ENSMUSG00000073676
Tm	nucleosome	ENSMUSG00000029430
Tm	nucleosome	ENSMUSG00000030795
Tm	nucleosome	ENSMUSG00000031848
Tm	nucleosome	ENSMUSG00000037601
Tm	nucleosome	ENSMUSG00000054766
Tm	nucleosome	ENSMUSG00000057278
Tm	nucleosome	ENSMUSG00000002985
Tm	nucleosome	ENSMUSG00000009575
Tm	nucleosome	ENSMUSG00000015937
Tm	nucleosome	ENSMUSG00000019890
Tm	nucleosome	ENSMUSG00000021270
Tm	nucleosome	ENSMUSG00000022205
Tm	nucleosome	ENSMUSG00000023944
Tm	nucleosome	ENSMUSG00000027203
Tm	nucleosome	ENSMUSG00000027523
Tm	nucleosome	ENSMUSG00000028333
Tm	nucleosome	ENSMUSG00000028843
Tm	nucleosome	ENSMUSG00000029580
Tm	nucleosome	ENSMUSG00000029836
Tm	nucleosome	ENSMUSG00000030122
Tm	nucleosome	ENSMUSG00000037894
Tm	nucleosome	ENSMUSG00000038393
Tm	nucleosome	ENSMUSG00000041126
Tm	nucleosome	ENSMUSG00000052684
Tm	nucleosome	ENSMUSG00000053560
Tm	nucleosome	ENSMUSG00000056054
Tm	nucleosome	ENSMUSG00000060743
Tm	nucleosome	ENSMUSG00000062825
Tm	nucleosome	ENSMUSG00000069516
Tm	nucleosome	ENSMUSG00000076431
Tm	MALAT1	ENSMUSG00000092341
Tr	stress_and_iron_response	ENSMUSG00000001175
Tr	stress_and_iron_response	ENSMUSG00000001525
Tr	stress_and_iron_response	ENSMUSG00000003814
Tr	stress_and_iron_response	ENSMUSG00000005732
Tr	stress_and_iron_response	ENSMUSG00000007815
Tr	stress_and_iron_response	ENSMUSG00000008348
Tr	stress_and_iron_response	ENSMUSG00000009013
Tr	stress_and_iron_response	ENSMUSG00000015120
Tr	stress_and_iron_response	ENSMUSG00000015656
Tr	stress_and_iron_response	ENSMUSG00000018102
Tr	stress_and_iron_response	ENSMUSG00000018293
Tr	stress_and_iron_response	ENSMUSG00000018567
Tr	stress_and_iron_response	ENSMUSG00000019370
Tr	stress_and_iron_response	ENSMUSG00000019505
Tr	stress_and_iron_response	ENSMUSG00000020053
Tr	stress_and_iron_response	ENSMUSG00000020612
Tr	stress_and_iron_response	ENSMUSG00000020644
Tr	stress_and_iron_response	ENSMUSG00000020738
Tr	stress_and_iron_response	ENSMUSG00000020849
Tr	stress_and_iron_response	ENSMUSG00000020949
Tr	stress_and_iron_response	ENSMUSG00000021250
Tr	stress_and_iron_response	ENSMUSG00000021957
Tr	stress_and_iron_response	ENSMUSG00000022108
Tr	stress_and_iron_response	ENSMUSG00000022285
Tr	stress_and_iron_response	ENSMUSG00000023004
Tr	stress_and_iron_response	ENSMUSG00000023175
Tr	stress_and_iron_response	ENSMUSG00000025492
Tr	stress_and_iron_response	ENSMUSG00000025613
Tr	stress_and_iron_response	ENSMUSG00000026021
Tr	stress_and_iron_response	ENSMUSG00000026074
Tr	stress_and_iron_response	ENSMUSG00000026358
Tr	stress_and_iron_response	ENSMUSG00000026605
Tr	stress_and_iron_response	ENSMUSG00000026728
Tr	stress_and_iron_response	ENSMUSG00000027447
Tr	stress_and_iron_response	ENSMUSG00000027533
Tr	stress_and_iron_response	ENSMUSG00000027620
Tr	stress_and_iron_response	ENSMUSG00000028410
Tr	stress_and_iron_response	ENSMUSG00000028465
Tr	stress_and_iron_response	ENSMUSG00000029131
Tr	stress_and_iron_response	ENSMUSG00000029465
Tr	stress_and_iron_response	ENSMUSG00000029761
Tr	stress_and_iron_response	ENSMUSG00000029838
Tr	stress_and_iron_response	ENSMUSG00000029922
Tr	stress_and_iron_response	ENSMUSG00000030591
Tr	stress_and_iron_response	ENSMUSG00000030654
Tr	stress_and_iron_response	ENSMUSG00000031622
Tr	stress_and_iron_response	ENSMUSG00000031740
Tr	stress_and_iron_response	ENSMUSG00000031812
Tr	stress_and_iron_response	ENSMUSG00000032231
Tr	stress_and_iron_response	ENSMUSG00000032301
Tr	stress_and_iron_response	ENSMUSG00000034855
Tr	stress_and_iron_response	ENSMUSG00000036752
Tr	stress_and_iron_response	ENSMUSG00000037058
Tr	stress_and_iron_response	ENSMUSG00000037706
Tr	stress_and_iron_response	ENSMUSG00000038418
Tr	stress_and_iron_response	ENSMUSG00000038502
Tr	stress_and_iron_response	ENSMUSG00000040331
Tr	stress_and_iron_response	ENSMUSG00000040385
Tr	stress_and_iron_response	ENSMUSG00000041959
Tr	stress_and_iron_response	ENSMUSG00000044927
Tr	stress_and_iron_response	ENSMUSG00000045136
Tr	stress_and_iron_response	ENSMUSG00000054452
Tr	stress_and_iron_response	ENSMUSG00000055148
Tr	stress_and_iron_response	ENSMUSG00000056201
Tr	stress_and_iron_response	ENSMUSG00000057666
Tr	stress_and_iron_response	ENSMUSG00000060860
Tr	stress_and_iron_response	ENSMUSG00000063524
Tr	stress_and_iron_response	ENSMUSG00000067818
Tr	stress_and_iron_response	ENSMUSG00000068523
Tr	stress_and_iron_response	ENSMUSG00000071072
Tr	stress_and_iron_response	ENSMUSG00000071076
Tr	stress_and_iron_response	ENSMUSG00000076437
Tr	stress_and_iron_response	ENSMUSG00000079523
Tr	stress_and_iron_response	ENSMUSG00000090841
Tr	stress_and_iron_response	ENSMUSG00000091971
Tr	stress_and_iron_response	ENSMUSG00000031807
