# This file has been generated by fmt_wp_leaf.py
#
# wp: [MPa] leaf water potential
#
when;rootstock;date;wp
fall;berlandieri;2006-09-19 04:04:11.025885828;-0.1603971230214951
fall;berlandieri;2006-09-19 08:59:15.532144225;-0.7851198246821164
fall;berlandieri;2006-09-19 10:54:17.794372290;-1.428672125405979
fall;berlandieri;2006-09-19 14:57:47.291226480;-1.514299003201939
fall;berlandieri;2006-09-19 16:29:23.538322041;-1.4205539485207315
fall;berlandieri;2006-09-19 17:45:50.979127157;-1.1991876227781604
fall;riparia;2006-09-19 03:56:43.205706668;-0.17618960591177601
fall;riparia;2006-09-19 08:59:59.960219318;-0.6327567952518616
fall;riparia;2006-09-19 10:57:17.626625156;-1.2822994749728363
fall;riparia;2006-09-19 14:59:01.575439510;-1.4204147933518434
fall;riparia;2006-09-19 16:26:10.540137049;-1.2787795505328283
fall;riparia;2006-09-19 17:45:07.259948013;-1.1089140507486175
spring;berlandieri;2006-06-21 04:13:33.974134781;-0.07492982719283035
spring;berlandieri;2006-06-21 08:27:11.713647851;-0.4749316859165129
spring;berlandieri;2006-06-21 10:17:22.216698361;-0.7447659754306429
spring;berlandieri;2006-06-21 12:10:49.675459158;-0.9108270319167286
spring;berlandieri;2006-06-21 14:15:49.033504553;-1.0379604742408923
spring;berlandieri;2006-06-21 16:02:28.430877514;-0.9571102097152899
spring;berlandieri;2006-06-21 18:11:23.794023420;-0.9584948247240332
spring;berlandieri;2006-06-21 20:22:35.275294562;-0.2614795373445132
spring;riparia;2006-06-21 04:13:33.974134781;-0.07252743641428432
spring;riparia;2006-06-21 08:28:26.704736225;-0.5368915691982468
spring;riparia;2006-06-21 10:17:22.216698361;-0.8488932090907492
spring;riparia;2006-06-21 12:11:34.103534251;-1.0506484670152476
spring;riparia;2006-06-21 14:16:19.596854601;-1.075052435888524
spring;riparia;2006-06-21 16:01:13.442820050;-1.1044478634953327
spring;riparia;2006-06-21 18:13:09.347114770;-1.102109895696379
spring;riparia;2006-06-21 20:24:20.830069751;-0.26633574997752035
